Position,Simplified,Stroke Count,Pinyin,Radical,Level
1,一,1,yī,一,1
2,乙,1,yǐ,乙,1
3,二,2,èr,二,1
4,十,2,shí,十,1
5,丁,2,"dīng, zhēng",一,1
6,厂,2,"chǎng, ān, yăn, hǎn",厂,1
7,七,2,qī,一,1
8,卜,2,"bǔ, bo",卜,1
9,八,2,bā,八,1
10,人,2,rén,人,1
11,入,2,rù,入,1
12,儿,2,ér,儿,1
13,匕,2,bǐ,匕,1
14,几,2,"jī, jǐ",几,1
15,九,2,jiǔ,丿,1
16,刁,2,diāo,刀,1
17,了,2,"liǎo, le",乙,1
18,刀,2,dāo,刀,1
19,力,2,lì,力,1
20,乃,2,nǎi,丿,1
21,又,2,yòu,又,1
22,三,3,sān,一,1
23,干,3,"gān, gàn",干,1
24,于,3,yú,二,1
25,亏,3,kuī,二,1
26,工,3,gōng,工,1
27,土,3,tǔ,土,1
28,士,3,shì,士,1
29,才,3,cái,扌,1
30,下,3,xià,一,1
31,寸,3,cùn,寸,1
32,大,3,"dà, dài, tài",大,1
33,丈,3,zhàng,一,1
34,与,3,"yǔ, yù, yú",一,1
35,万,3,"wàn, mò",一,1
36,上,3,"shàng, shǎng",一,1
37,小,3,xiǎo,小,1
38,口,3,kǒu,口,1
39,山,3,shān,山,1
40,巾,3,jīn,巾,1
41,千,3,qiān,十,1
42,乞,3,qǐ,乙,1
43,川,3,chuān,川,1
44,亿,3,yì,亻,1
45,个,3,"gè, gě",人,1
46,夕,3,xī,夕,1
47,久,3,jiǔ,丿,1
48,么,3,"mó, ma, me, yāo",丿,1
49,勺,3,sháo,勹,1
50,凡,3,fán,几,1
51,丸,3,wán,丿,1
52,及,3,jí,丿,1
53,广,3,"guǎng, ān, yǎn",广,1
54,亡,3,"wáng, wú",亠,1
55,门,3,mén,门,1
56,丫,3,yā,丨,1
57,义,3,yì,丶,1
58,之,3,zhī,丶,1
59,尸,3,shī,尸,1
60,己,3,jǐ,己,1
61,已,3,yǐ,己,1
62,巳,3,sì,巳,1
63,弓,3,gōng,弓,1
64,子,3,zǐ,子,1
65,卫,3,wèi,卩,1
66,也,3,yě,乙,1
67,女,3,"nǚ, rǔ",女,1
68,刃,3,rèn,刀,1
69,飞,3,fēi,飞,1
70,习,3,xí,乙,1
71,叉,3,"chā, chá, chǎ, chà",又,1
72,马,3,mǎ,马,1
73,乡,3,xiāng,乙,1
74,丰,4,fēng,丨,1
75,王,4,"wáng, wàng",王,1
76,开,4,kāi,廾,1
77,井,4,jǐng,二,1
78,天,4,tiān,大,1
79,夫,4,"fū, fú",大,1
80,元,4,yuán,二,1
81,无,4,wú,一,1
82,云,4,yún,二,1
83,专,4,zhuān,一,1
84,丐,4,gài,一,1
85,扎,4,"zā, zhā, zhá",扌,1
86,艺,4,yì,艹,1
87,木,4,mù,木,1
88,五,4,wǔ,二,1
89,支,4,zhī,支,1
90,厅,4,tīng,厂,1
91,不,4,"bù, fǒu",一,1
92,犬,4,quǎn,犬,1
93,太,4,tài,大,1
94,区,4,"qū, ōu",匚,1
95,历,4,lì,厂,1
96,歹,4,dǎi,歹,1
97,友,4,yǒu,又,1
98,尤,4,yóu,尢,1
99,匹,4,pǐ,匚,1
100,车,4,"chē, jū",车,1
101,巨,4,jù,匚,1
102,牙,4,yá,牙,1
103,屯,4,"tún, zhūn",屮,1
104,戈,4,gē,戈,1
105,比,4,bǐ,比,1
106,互,4,hù,二,1
107,切,4,"qiē, qiè",刀,1
108,瓦,4,"wǎ, wà",瓦,1
109,止,4,zhǐ,止,1
110,少,4,"shǎo, shào",小,1
111,曰,4,yuē,曰,1
112,日,4,rì,日,1
113,中,4,"zhōng, zhòng",丨,1
114,贝,4,bèi,贝,1
115,冈,4,gāng,冂,1
116,内,4,"nèi, nà",冂,1
117,水,4,shuǐ,水,1
118,见,4,"jiàn, xiàn",见,1
119,午,4,wǔ,十,1
120,牛,4,niú,牛,1
121,手,4,shǒu,手,1
122,气,4,qì,气,1
123,毛,4,máo,毛,1
124,壬,4,rén,士,1
125,升,4,shēng,十,1
126,夭,4,yāo,大,1
127,长,4,"cháng, zhǎng",长,1
128,仁,4,rén,亻,1
129,什,4,"shí, shén",亻,1
130,片,4,"piàn, piān",片,1
131,仆,4,"pū, pú",亻,1
132,化,4,"huà, huā",亻,1
133,仇,4,"chóu, qiú",亻,1
134,币,4,bì,巾,1
135,仍,4,réng,亻,1
136,仅,4,"jǐn, jìn",亻,1
137,斤,4,jīn,斤,1
138,爪,4,"zhǎo, zhuǎ",爪,1
139,反,4,fǎn,又,1
140,介,4,jiè,人,1
141,父,4,"fù, fǔ",父,1
142,从,4,"cóng, zòng",人,1
143,仑,4,lún,人,1
144,今,4,jīn,人,1
145,凶,4,xiōng,凵,1
146,分,4,"fēn, fèn",刀,1
147,乏,4,fá,丿,1
148,公,4,gōng,八,1
149,仓,4,cāng,人,1
150,月,4,yuè,月,1
151,氏,4,"shì, zhī",氏,1
152,勿,4,wù,勹,1
153,欠,4,qiàn,欠,1
154,风,4,"fēng, fěng",风,1
155,丹,4,dān,丿,1
156,匀,4,yún,勹,1
157,乌,4,wū,丿,1
158,勾,4,"gōu, gòu",勹,1
159,凤,4,fèng,几,1
160,六,4,"liù, lù",亠,1
161,文,4,wén,文,1
162,亢,4,kàng,亠,1
163,方,4,fāng,方,1
164,火,4,huǒ,火,1
165,为,4,"wéi, wèi",丶,1
166,斗,4,"dǒu, dòu",斗,1
167,忆,4,yì,忄,1
168,计,4,jì,讠,1
169,订,4,dìng,讠,1
170,户,4,hù,户,1
171,认,4,rèn,讠,1
172,冗,4,rǒng,冖,1
173,讥,4,jī,讠,1
174,心,4,xīn,心,1
175,尺,4,"chǐ, chě",尸,1
176,引,4,yǐn,弓,1
177,丑,4,chǒu,一,1
178,巴,4,bā,巳,1
179,孔,4,kǒng,子,1
180,队,4,duì,阝,1
181,办,4,bàn,力,1
182,以,4,yǐ,人,1
183,允,4,yǔn,儿,1
184,予,4,"yú, yǔ",乙,1
185,邓,4,dèng,阝,1
186,劝,4,quàn,力,1
187,双,4,shuāng,又,1
188,书,4,shū,乛,1
189,幻,4,huàn,幺,1
190,玉,5,yù,玉,1
191,刊,5,kān,刂,1
192,未,5,wèi,木,1
193,末,5,mò,木,1
194,示,5,shì,示,1
195,击,5,jī,凵,1
196,打,5,"dǎ, dá",扌,1
197,巧,5,qiǎo,工,1
198,正,5,"zhèng, zhēng",止,1
199,扑,5,pū,扌,1
200,卉,5,huì,十,1
201,扒,5,"bā, pá",扌,1
202,功,5,gōng,力,1
203,扔,5,rēng,扌,1
204,去,5,qù,土,1
205,甘,5,gān,甘,1
206,世,5,shì,一,1
207,艾,5,"ài, yì",艹,1
208,古,5,gǔ,口,1
209,节,5,"jié, jiē",艹,1
210,本,5,běn,木,1
211,术,5,"shù, shú, zhú",木,1
212,可,5,"kě, kè",口,1
213,丙,5,bǐng,一,1
214,左,5,zuǒ,工,1
215,厉,5,lì,厂,1
216,石,5,"shí, dàn",石,1
217,右,5,yòu,口,1
218,布,5,bù,巾,1
219,夯,5,"hāng, bèn",大,1
220,戊,5,wù,戈,1
221,龙,5,lóng,龙,1
222,平,5,píng,干,1
223,灭,5,miè,火,1
224,轧,5,"gá, yà, zhá",车,1
225,东,5,dōng,一,1
226,卡,5,"kǎ, qiǎ",丨,1
227,北,5,"běi, bèi",匕,1
228,占,5,"zhān, zhàn",卜,1
229,凸,5,tū,凵,1
230,卢,5,lú,卜,1
231,业,5,yè,一,1
232,旧,5,jiù,日,1
233,帅,5,shuài,巾,1
234,归,5,guī,彐,1
235,旦,5,dàn,日,1
236,目,5,mù,目,1
237,且,5,"qiě, jū",一,1
238,叶,5,"yè, xié",口,1
239,甲,5,jiǎ,丨,1
240,申,5,shēn,田,1
241,叮,5,dīng,口,1
242,电,5,diàn,田,1
243,号,5,"hào, háo",口,1
244,田,5,tián,田,1
245,由,5,yóu,田,1
246,只,5,"zhī, zhǐ",口,1
247,叭,5,bā,口,1
248,史,5,shǐ,口,1
249,央,5,yāng,大,1
250,兄,5,xiōng,儿,1
251,叽,5,jī,口,1
252,叼,5,diāo,口,1
253,叫,5,jiào,口,1
254,叩,5,kòu,口,1
255,叨,5,"tāo, dāo",口,1
256,另,5,lìng,口,1
257,叹,5,tàn,口,1
258,冉,5,rǎn,冂,1
259,皿,5,mǐn,皿,1
260,凹,5,"āo, wā",凵,1
261,囚,5,qiú,囗,1
262,四,5,sì,囗,1
263,生,5,shēng,生,1
264,矢,5,shǐ,矢,1
265,失,5,shī,大,1
266,乍,5,zhà,丿,1
267,禾,5,hé,禾,1
268,丘,5,qiū,丿,1
269,付,5,fù,亻,1
270,仗,5,zhàng,亻,1
271,代,5,dài,亻,1
272,仙,5,xiān,亻,1
273,们,5,mén,亻,1
274,仪,5,yí,亻,1
275,白,5,bái,白,1
276,仔,5,"zī, zǐ, zǎi",亻,1
277,他,5,tā,亻,1
278,斥,5,chì,斤,1
279,瓜,5,guā,瓜,1
280,乎,5,hū,丿,1
281,丛,5,cóng,一,1
282,令,5,"líng, lǐng, lìng",人,1
283,用,5,yòng,用,1
284,甩,5,shuǎi,用,1
285,印,5,yìn,卩,1
286,尔,5,ěr,小,1
287,乐,5,"lè, yuè, yào, lào",丿,1
288,句,5,"jù, gōu",口,1
289,匆,5,cōng,勹,1
290,册,5,cè,丿,1
291,卯,5,mǎo,卩,1
292,犯,5,fàn,犭,1
293,外,5,wài,夕,1
294,处,5,"chǔ, chù",夂,1
295,冬,5,dōng,夂,1
296,鸟,5,niǎo,鸟,1
297,务,5,wù,力,1
298,包,5,bāo,勹,1
299,饥,5,jī,饣,1
300,主,5,zhǔ,丶,1
301,市,5,shì,巾,1
302,立,5,lì,立,1
303,冯,5,"féng, píng",冫,1
304,玄,5,xuán,玄,1
305,闪,5,shǎn,门,1
306,兰,5,lán,丷,1
307,半,5,bàn,十,1
308,汁,5,zhī,氵,1
309,汇,5,huì,氵,1
310,头,5,"tóu, tou",大,1
311,汉,5,hàn,氵,1
312,宁,5,"níng, nìng, zhù",宀,1
313,穴,5,xué,穴,1
314,它,5,tā,宀,1
315,讨,5,tǎo,讠,1
316,写,5,xiě,冖,1
317,让,5,ràng,讠,1
318,礼,5,lǐ,礻,1
319,训,5,xùn,讠,1
320,议,5,yì,讠,1
321,必,5,bì,心,1
322,讯,5,xùn,讠,1
323,记,5,jì,讠,1
324,永,5,yǒng,水,1
325,司,5,sī,口,1
326,尼,5,ní,尸,1
327,民,5,mín,乛,1
328,弗,5,fú,弓,1
329,弘,5,hóng,弓,1
330,出,5,chū,凵,1
331,辽,5,liáo,辶,1
332,奶,5,nǎi,女,1
333,奴,5,nú,女,1
334,召,5,"zhào, shào",口,1
335,加,5,jiā,力,1
336,皮,5,pí,皮,1
337,边,5,biān,辶,1
338,孕,5,yùn,子,1
339,发,5,"fā, fà",又,1
340,圣,5,"shèng, kū",土,1
341,对,5,duì,寸,1
342,台,5,"tái, tāi",口,1
343,矛,5,máo,矛,1
344,纠,5,jiū,纟,1
345,母,5,mǔ,母,1
346,幼,5,yòu,幺,1
347,丝,5,sī,一,1
348,邦,6,bāng,阝,1
349,式,6,shì,弋,1
350,迂,6,yū,辶,1
351,刑,6,xíng,刂,1
352,戎,6,róng,戈,1
353,动,6,dòng,力,1
354,扛,6,"káng, gāng",扌,1
355,寺,6,sì,寸,1
356,吉,6,jí,口,1
357,扣,6,kòu,扌,1
358,考,6,kǎo,耂,1
359,托,6,tuō,扌,1
360,老,6,lǎo,耂,1
361,巩,6,gǒng,工,1
362,圾,6,jī,土,1
363,执,6,zhí,扌,1
364,扩,6,kuò,扌,1
365,扫,6,"sǎo, sào",扌,1
366,地,6,"dì, de",土,1
367,场,6,"cháng, chǎng",土,1
368,扬,6,yáng,扌,1
369,耳,6,ěr,耳,1
370,芋,6,yù,艹,1
371,共,6,"gòng, gōng",八,1
372,芒,6,máng,艹,1
373,亚,6,yà,二,1
374,芝,6,zhī,艹,1
375,朽,6,xiǔ,木,1
376,朴,6,"pǔ, pò, pō, piáo",木,1
377,机,6,jī,木,1
378,权,6,quán,木,1
379,过,6,"guò, guo, guō",辶,1
380,臣,6,chén,臣,1
381,吏,6,lì,口,1
382,再,6,zài,冂,1
383,协,6,xié,十,1
384,西,6,xī,覀,1
385,压,6,"yā, yà",厂,1
386,厌,6,yàn,厂,1
387,戌,6,xū,戈,1
388,在,6,zài,土,1
389,百,6,bǎi,白,1
390,有,6,"yǒu, yòu",月,1
391,存,6,cún,子,1
392,而,6,ér,而,1
393,页,6,yè,页,1
394,匠,6,jiàng,匚,1
395,夸,6,"kuā, kuà",大,1
396,夺,6,duó,大,1
397,灰,6,huī,火,1
398,达,6,dá,辶,1
399,列,6,liè,刂,1
400,死,6,sǐ,歹,1
401,成,6,chéng,戈,1
402,夹,6,"jiā, jiá, gā",大,1
403,夷,6,yí,大,1
404,轨,6,guǐ,车,1
405,邪,6,"xié, yé",阝,1
406,尧,6,yáo,兀,1
407,划,6,"huá, huà",刂,1
408,迈,6,mài,辶,1
409,毕,6,bì,比,1
410,至,6,zhì,至,1
411,此,6,cǐ,止,1
412,贞,6,zhēn,贝,1
413,师,6,shī,巾,1
414,尘,6,chén,小,1
415,尖,6,jiān,小,1
416,劣,6,liè,力,1
417,光,6,guāng,儿,1
418,当,6,"dāng, dàng",彐,1
419,早,6,zǎo,日,1
420,吁,6,"xū, yù",口,1
421,吐,6,"tǔ, tù",口,1
422,吓,6,"xià, hè",口,1
423,虫,6,chóng,虫,1
424,曲,6,"qū, qǔ",曰,1
425,团,6,tuán,囗,1
426,吕,6,lǚ,口,1
427,同,6,"tóng, tòng",口,1
428,吊,6,diào,口,1
429,吃,6,chī,口,1
430,因,6,yīn,囗,1
431,吸,6,xī,口,1
432,吗,6,"má, mǎ, ma",口,1
433,吆,6,yāo,口,1
434,屿,6,yǔ,山,1
435,屹,6,yì,山,1
436,岁,6,suì,山,1
437,帆,6,fān,巾,1
438,回,6,huí,囗,1
439,岂,6,"qǐ, kǎi",山,1
440,则,6,zé,刂,1
441,刚,6,gāng,刂,1
442,网,6,wǎng,冂,1
443,肉,6,ròu,肉,1
444,年,6,nián,干,1
445,朱,6,"zhū, shú",木,1
446,先,6,xiān,儿,1
447,丢,6,diū,丿,1
448,廷,6,tíng,廴,1
449,舌,6,shé,舌,1
450,竹,6,zhú,竹,1
451,迁,6,qiān,辶,1
452,乔,6,qiáo,丿,1
453,迄,6,qì,辶,1
454,伟,6,wěi,亻,1
455,传,6,"chuán, zhuàn",亻,1
456,乒,6,pīng,丿,1
457,乓,6,pāng,丿,1
458,休,6,"xiū, xǔ",亻,1
459,伍,6,wǔ,亻,1
460,伏,6,fú,亻,1
461,优,6,yōu,亻,1
462,臼,6,jiù,臼,1
463,伐,6,fá,亻,1
464,延,6,yán,廴,1
465,仲,6,zhòng,亻,1
466,件,6,jiàn,亻,1
467,任,6,"rèn, rén",亻,1
468,伤,6,shāng,亻,1
469,价,6,"jià, jiè, jie",亻,1
470,伦,6,lún,亻,1
471,份,6,"fèn, bīn",亻,1
472,华,6,"huá, huà, huā",十,1
473,仰,6,"yǎng, áng",亻,1
474,仿,6,fǎng,亻,1
475,伙,6,huǒ,亻,1
476,伪,6,wěi,亻,1
477,自,6,zì,自,1
478,伊,6,yī,亻,1
479,血,6,"xiě, xuè",血,1
480,向,6,xiàng,口,1
481,似,6,"sì, shì",亻,1
482,后,6,hòu,口,1
483,行,6,"háng, xíng",彳,1
484,舟,6,zhōu,舟,1
485,全,6,quán,人,1
486,会,6,"huì, kuài",人,1
487,杀,6,shā,木,1
488,合,6,"hé, gě",口,1
489,兆,6,zhào,儿,1
490,企,6,qǐ,人,1
491,众,6,zhòng,人,1
492,爷,6,yé,父,1
493,伞,6,sǎn,人,1
494,创,6,"chuàng, chuāng",刂,1
495,肌,6,jī,月,1
496,肋,6,"lèi, lē",月,1
497,朵,6,duǒ,木,1
498,杂,6,zá,木,1
499,危,6,wēi,㔾,1
500,旬,6,xún,日,1
501,旨,6,zhǐ,日,1
502,旭,6,xù,日,1
503,负,6,fù,贝,1
504,匈,6,xiōng,勹,1
505,名,6,míng,口,1
506,各,6,"gè, gě",口,1
507,多,6,duō,夕,1
508,争,6,zhēng,刀,1
509,色,6,"sè, shăi",色,1
510,壮,6,zhuàng,士,1
511,冲,6,"chōng, chòng",冫,1
512,妆,6,zhuāng,女,1
513,冰,6,bīng,冫,1
514,庄,6,"zhuāng, péng",广,1
515,庆,6,qìng,广,1
516,亦,6,yì,亠,1
517,刘,6,liú,文,1
518,齐,6,"qí, jì, zī, zhāi",齐,1
519,交,6,jiāo,亠,1
520,衣,6,yī,衣,1
521,次,6,cì,欠,1
522,产,6,chǎn,亠,1
523,决,6,jué,冫,1
524,亥,6,hài,亠,1
525,充,6,chōng,亠,1
526,妄,6,wàng,女,1
527,闭,6,bì,门,1
528,问,6,wèn,门,1
529,闯,6,chuǎng,门,1
530,羊,6,"yáng, xiáng",羊,1
531,并,6,"bìng, bīng",干,1
532,关,6,guān,丷,1
533,米,6,mǐ,米,1
534,灯,6,dēng,火,1
535,州,6,zhōu,川,1
536,汗,6,"hàn, hán",氵,1
537,污,6,wū,氵,1
538,江,6,jiāng,氵,1
539,汛,6,xùn,氵,1
540,池,6,chí,氵,1
541,汝,6,rǔ,氵,1
542,汤,6,"tāng, shāng",氵,1
543,忙,6,máng,忄,1
544,兴,6,"xīng, xìng",八,1
545,宇,6,yǔ,宀,1
546,守,6,shǒu,宀,1
547,宅,6,zhái,宀,1
548,字,6,zì,子,1
549,安,6,ān,宀,1
550,讲,6,jiǎng,讠,1
551,讳,6,huì,讠,1
552,军,6,jūn,冖,1
553,讶,6,yà,讠,1
554,许,6,"xǔ, hǔ",讠,1
555,讹,6,é,讠,1
556,论,6,"lùn, lún",讠,1
557,讼,6,sòng,讠,1
558,农,6,nóng,冖,1
559,讽,6,fěng,讠,1
560,设,6,shè,讠,1
561,访,6,fǎng,讠,1
562,诀,6,jué,讠,1
563,寻,6,xún,寸,1
564,那,6,"nà, nǎ, nèi, nā",阝,1
565,迅,6,xùn,辶,1
566,尽,6,"jìn, jǐn",尸,1
567,导,6,dǎo,寸,1
568,异,6,yì,廾,1
569,弛,6,chí,弓,1
570,孙,6,"sūn, xùn",子,1
571,阵,6,zhèn,阝,1
572,阳,6,yáng,阝,1
